345,4294501266,.\#innodb_temp\temp_10.ibt,81920,ACTIVE,INTRINSIC
0,4294501257,.\#innodb_temp\temp_1.ibt,81920,INACTIVE,NONE
0,4294501258,.\#innodb_temp\temp_2.ibt,81920,INACTIVE,NONE
0,4294501259,.\#innodb_temp\temp_3.ibt,81920,INACTIVE,NONE
0,4294501260,.\#innodb_temp\temp_4.ibt,81920,INACTIVE,NONE
0,4294501261,.\#innodb_temp\temp_5.ibt,81920,INACTIVE,NONE
0,4294501262,.\#innodb_temp\temp_6.ibt,81920,INACTIVE,NONE
0,4294501263,.\#innodb_temp\temp_7.ibt,81920,INACTIVE,NONE
0,4294501264,.\#innodb_temp\temp_8.ibt,81920,INACTIVE,NONE
0,4294501265,.\#innodb_temp\temp_9.ibt,81920,INACTIVE,NONE
