1025,mysql/db,161,25,4294967294,Dynamic,0,General,0
1026,mysql/user,161,54,4294967294,Dynamic,0,General,0
1027,mysql/default_roles,161,7,4294967294,Dynamic,0,General,0
1028,mysql/role_edges,161,8,4294967294,Dynamic,0,General,0
1029,mysql/global_grants,161,7,4294967294,Dynamic,0,General,0
1030,mysql/password_history,161,7,4294967294,Dynamic,0,General,0
1031,mysql/func,161,7,4294967294,Dynamic,0,General,0
1032,mysql/plugin,161,5,4294967294,Dynamic,0,General,0
1054,mysql/help_topic,161,9,4294967294,Dynamic,0,General,0
1055,mysql/help_category,161,7,4294967294,Dynamic,0,General,0
1057,mysql/help_relation,161,5,4294967294,Dynamic,0,General,0
1036,mysql/servers,161,12,4294967294,Dynamic,0,General,0
1037,mysql/tables_priv,161,11,4294967294,Dynamic,0,General,0
1038,mysql/columns_priv,161,10,4294967294,Dynamic,0,General,0
1056,mysql/help_keyword,161,5,4294967294,Dynamic,0,General,0
1040,mysql/time_zone_name,161,5,4294967294,Dynamic,0,General,0
1041,mysql/time_zone,161,5,4294967294,Dynamic,0,General,0
1042,mysql/time_zone_transition,161,6,4294967294,Dynamic,0,General,0
1043,mysql/time_zone_transition_type,161,8,4294967294,Dynamic,0,General,0
1044,mysql/time_zone_leap_second,161,5,4294967294,Dynamic,0,General,0
1045,mysql/procs_priv,161,11,4294967294,Dynamic,0,General,0
1046,mysql/component,161,6,4294967294,Dynamic,0,General,0
1047,mysql/slave_relay_log_info,161,12,4294967294,Dynamic,0,General,0
1048,mysql/slave_master_info,161,31,4294967294,Dynamic,0,General,0
1049,mysql/slave_worker_info,161,16,4294967294,Dynamic,0,General,0
1050,mysql/gtid_executed,161,6,4294967294,Dynamic,0,General,0
1051,mysql/server_cost,161,7,4294967294,Dynamic,0,General,0
1052,mysql/engine_cost,161,9,4294967294,Dynamic,0,General,0
1053,mysql/proxies_priv,161,10,4294967294,Dynamic,0,General,0
1058,sys/sys_config,33,7,1,Dynamic,0,Single,0
1090,shome/user,33,10,33,Dynamic,0,Single,0
1113,shome/app_user,33,10,56,Dynamic,0,Single,0
1114,shome/reading,33,8,57,Dynamic,0,Single,0
1115,shome/user_log,33,7,58,Dynamic,0,Single,0
